あんた,あなた,you
わたしたち,わたしたち,we
あのひと,あの人,"that person, he, she"
あのかた,あの方,"that person, he,she (more polite)"
みなさん,皆さん,"ladies and gentlemen, all of you"
～さん,～さん,Mr. Ms. (title of respect addded to a name)
～ちゃん,～ちゃん,(suffix often added to a child's name)
～くん,～君,(suffix often added to a boy's name)
～じん,～人,(suffix meaning 'a national of')
せんせい,先生,"teacher, instructor (not used when referring to one's own job)"
どなた,どなた,who (polite)
～さい,～歳,~years old
なんさい,何歳,how old
おいくつ,おいくつ,how old (polite)
はい,はい,yes
いいえ,いいえ,no
しつれいですが,失礼ですが,"Excuse me, but"
おなまえは,お名前は,May I have your name?
はじめまして,初めまして,How do you do? (introducing oneself for the first time)
どうぞよろしく（おねがいします）,どうぞよろしく（お願いします）,Pleased to meet you
こちらは～さんです,こちらは～さんです,This is Mr. (Ms.) ~
～からきました,～から来ました,I came (come) from ~
わたし,わたし,I
きょうし,教師,"teacher, instructor"
がくせい,学生,student
かいしゃいん,会社員,company employee
しゃいん,社員,employee of ~ company (used with a company name)
ぎんこういん,銀行員,bank employee
いしゃ,医者,medical doctor
けんきゅうしゃ,研究者,"researcher, scholar"
エンジニア,エンジニア,engineer
だいがく,大学,university
びょういん,病院,hospital
でんき,電気,"electricity, light"
だれ,だれ,who
