います,"","exist, be (referring to animate things)"
ありま,"","exist, be (referring to inanimate things)"
いろいろ,"",various
おとこのひと,男の人,man
おんなのひと,女の人,woman
おとこのこ,男の子,boy
おんなのこ,女の子,girl
いぬ,犬,dog
ねこ,猫,cat
き,木,tree
もの,物,thing
フィルム,"",film
でんち,電池,battery
はこ,箱,box
スイッチ,"",switch
れいぞうこ,冷蔵庫,refrigerator
テーブル,"",table
ベッド,"",bed
たな,棚,shelf
ドア,"",door
まど,窓,window
ポスト,"","mailbox, postbox"
ビル,"",building
こうえん,公園,park
きっさてん,喫茶店,coffee shop
ほんや,本屋,bookstore
～や,～屋,~ store
のりば,乗り場,"a fixed place to catch taxis, trains, etc."
けん,県,prefecture
うえ,上,"on, above, over"
した,下,"under, below, beneath"
まえ,前,"front, before"
うしろ,"","back, behind"
みぎ,右,right (side)
ひだり,左,left (side)
なか,中,"in, inside"
そと,外,outside
となり,隣,"next, next door"
ちかく,近く,"near, vicinity"
あいだ,間,"between, among"
など,"","～や～ など ~, ~, and so on"
いちばん～,"",the most ~
いちばんうえ,"",the top
～だんめ,～段目,the ~th shelf
だん,"",the counter for shelves
どうもすみません,"",Thank you
チリソース,"",chilli sauce
おく,奥,the back
スパイスコーナー,"",spice corner
