いきます,行ます,go
きます,来ます,come
かえります,帰ります,"go home, return"
がっこう,学校,school
スーパー,スーパー,supermarket
えき,駅,station
ひこうき,飛行機,airplane
ふね,船,ship
でんしゃ,電車,electric train
ちかてつ,地下鉄,"subway, underground"
しんかんせん,新幹線,"the Shinkansen, the bullet train"
バス,バス,bus
タクシー,タクシー,taxi
じてんしゃ,自転車,bicycle
あるいて,歩いて,on foot
ひと,人,"person, people"
ともだち,友達,friend
かれ,彼,"he, boyfriend, lover"
かのじょ,彼女,"she, girlfriend, lover"
かぞく,家族,family
ひとりで,一人で,"alone, by oneself"
せんしゅう,先週,last week
こんしゅう,今週,this week
らいしゅう,来週,next week
せんげつ,先月,last month
こんげつ,今月,this month
らいげつ,来月,next month
きょねん,去年,last year
ことし,ことし,this year
らいねん,来年,next year
～がつ,～月,~th month of the year
なんがつ,何月,what month
ついたち,一日,first day of the month
ふつか,二日,"second, two days"
みっか,三日,"third, three days"
よっか,四日,"fourth, four days"
いつか,五日,"fifth, five days"
むいか,六日,"sixth, six days"
なのか,七日,"seventh, seven days"
ようか,八日,"eigth, eight days"
ここのか,九日,"ninth, nine days"
とおか,十日,"tenth, ten days"
じゅうよっか,十四日,"fourteenth, fourteen days"
はつか,二十日,"twentieth, twenty days"
にじゅうよっか,二十四日,"twenty fourth, twenty four days"
～にち,～日,"~th day of the month, ~ days"
なんにち,何日,"which day of the month, how many days"
いつ,いつ,when
たんじょうび,誕生日,birthday
ふつう,普通,local (train)
きゅうこう,急行,rapid
とっきゅう,特急,express
つぎの,次の,next
どういたしまして,どういたしまして,"You're welcome, Don't mention it"
～ばんせん,～番線,"platform ~, ~th platform"
