たべます,食べます,eat
のみます,飲みます,drink
すいます,吸います,smoke
たばこをすいます,たばこを吸います,smoke a cigarette
みます,見ます,"see, look at, watch"
ききます,聞きます,"hear, listen"
よみます,読みます,read
かきます,書きます,"write, draw, paint"
かいます,買います,buy
とります,撮ります,take (a photograph)
しゃしんをとります,写真を撮ります,take a picture
します,します,do
あいます,会います,meet
ともだちをあいます,友達を会います,meet a friend
ごはん,ごはん,"a meal, cooked rice"
あさごはん,朝ごはん,breakfast
ひるごはん,昼ごはん,lunch
ばんごはん,晩ごはん,supper
パン,パン,bread
たまご,卵,egg
にく,肉,meat
さかな,魚,fish
やさい,野菜,vegetable
くだもの,果物,fruit
みず,水,water
おちゃ,お茶,"tea, green tea"
こうちゃ,紅茶,black tea
ぎゅうにゅう,牛乳,milk
ミリク,ミリク,milk
ジュース,ジュース,juice
ビール,ビール,beer
さけ,酒,"alcohol, Japanese rice wine"
ビデオ,ビデオ,video
えいが,映画,movie
てがみ,手紙,letter
レポート,レポート,report
しゃしん,写真,photograph
みせ,店,"store, shop"
レストラン,レストラン,restaurant
にわ,庭,garden
しゅくだい,宿題,homework
しゅくだいをします,宿題をします,do homework
テニス,テニス,tennis
サッカー,サッカー,"soccer, football"
サッカーをします,サッカーをします,play soccer
はなみ,花見,cherry-blossom viewing
はなみをします,花見をします,go cherry-blossom viewing
なに,何,what
いっしょに,いっしょに,together
ちょっと,ちょっと,"a little while, a little bit"
いつも,いつも,"always, usually"
ときどき,時々,sometimes
それから,それから,"after that, and then"
ええ,ええ,yes
いいですね,いいですね,That's good.
わかりました,わかりました,I see
なんですか,何ですか,Yes?
じゃ、またあした,じゃ、またあした,See you tomorrow
