きります,切ります,"cut, slice"
おくります,送ります,send
あげます,あげます,give
もらいます,もらいます,receive
かします,貨します,lend
かります,借ります,borrow
おしえます,教えます,teach
ならいます,習います,learn
でんわをかけます,でんわをかけます,make a telephone call
て,手,"hand, arm"
はし,はし,chopsticks
スプーン,スプーン,spoon
ナイフ,ナイフ,knife
フォーク,フォーク,fork
はさみ,はさみ,scissors
ファクス,ファクス,fax
ワープロ,ワープロ,word procecessor
パソコン,パソコン,personal computer
パンチ,パンチ,punch
ホッチキス,ホッチキス,stapler
セロテープ,セロテープ,"Scotch tape, clear adhesive tape"
けしゴマ,消しゴマ,eraser
かみ,紙,paper
はな,花,"flower, blossom"
シャツ,シャツ,shirt
プレゼント,プレゼント,"present, gift"
にもつ,荷物,"baggage, parcel"
おかね,お金,money
きっぷ,切符,ticket
クリスマス,クリスマス,Christmas
ちち,父,(my) father
はは,母,(my) mother
おとうさん,お父さん,(someone else's) father
おかあさん,お母さん,(someone else's) mother
もう,もう,already
まだ,まだ,not yet
これから,これから,"from now on, soon"
～すてきですね,～すてきですね,What a nice ~!
ごめんください,ごめんください,"Excuse me, Anybody home?, May I come in? (an expression used by a visitor)"
いらっしゃい,いらっしゃい,How nice of you to come (lit. Welcome)
どうぞおあがりください,どうぞお上がりください,Do come in
しつれいします,失礼します,"Thank you, May I? (lit. I'm afraid I'll be disturbing you)"
～はいかがですか,～はいかがですか,"Won't you have ~?, Would you like to have ~? (used when offering something)"
いただきます,いただきます,"Thank you, I accept (said before starting to eat or drink)"
りょこう,旅行,"trip, tour"
りょこうをします,旅行をします,make a trip
おみやげ,お土産,"souvenir, present"
ヨーロッパ,ヨーロッパ,Europe
スパイン,スペイン,Spain
