ああ,"",oh,9
あぶない,危ない,dangerous,17
あっち,"","this way, that place over there (an informal equivalent of achira)",20
あちら,"","that way, that place over there (polite)",3
あげます,"",give,7
あいだ,間,"between, among",10
あいます,会います,meet,6
アイスクリーム,"",ice cream,11
アジア,"",Asia,16
あかい,赤い,red,8
あかるい,明るい,"bright, light",16
あけます,開けます,open,14
あき,秋,"autumn, fall",12
あまい,甘い,sweet,12
あまり,"",not so (used with negatives),8
あめ,雨,"rain, rainy",12
あめがふります,雨が降ります,rain,14
あね,姉,(my) elder sister,11
あに,兄,(my) elder brother,11
あんないします,案内します,"show around, show the way",24
あの～,"","that ~, that ~ over there",2
あのあいだ,あの間,the other day,20
あのひと,あの人,"that person, he, she",1
あのかた,あの方,"that person, he,she (more polite)",1
あのう,"",well (used to show hesitation),2
あんしょうばんごう,暗証番号,"personal identification number, PIN",16
あんた,"",you,1
あおい,青い,blue,8
アパート,"",apartment,22
あらいます,洗います,wash,18
あれ,"",Oh! (in surprise or in wonder),14
あれ,"",that (thing over there),2
ありがとう,"",Thank you,2
ありま,"","exist, be (referring to inanimate things)",10
あります,"","be held, take place",21
あります,"",have,9
アルバイト,"",side job,21
アルバイトをします,"",work part time,21
あるいて,歩いて,on foot,5
あるきます,歩きます,walk,23
あさ,朝,morning,4
あさごはん,朝ごはん,breakfast,6
あさって,"",the day after tomorrow,4
あし,足,"leg, foot",16
あした,"",tomorrow,4
あそびます,遊びます,"enjoy oneself, play",13
あそこ,"",that place over there,3
あたま,頭,head,16
あたまがいい,頭がいい,"clever, smart",16
あたらしい,新しい,new,8
あたたかい,暖かい,warm,12
あたたかい,温かい,warm,12
あとで,"",later,14
あつい,厚い,hot,8
あつい,熱い,hot,8
あつめます,集めます,"collect, gather",18
