Danh từ 1 は Danh từ 2 です," Trợ từ 「は」 
 Trợ từ 「は」 biểu thị rằng danh từ đứng trước nó là chủ đề của câu. Người nói đặt 「は」 trước chủ đề mà mình muốn nói đến và lập thành câu bằng cách thêm 「は」 những thông tin cần thiết.
 わたしはマイク。ミラーです。 
 Tôi là Mike Miller.
 Chú ý: 「は」 đọc là 「わ」 
 です
 「です」 được đặt sau danh từ làm vị ngữ để biểu thị sự phán đoán hay khẳng định.
 「です」 biểu thị sự lịch sự của người nói đối với người nghe.
 「です」 thay đổi hình thức trong trường hợp của câu phủ định hoặc thời quá khứ.
 わたしはエンギ二アです。 
 Tôi là kỹ sư.",1
Danh từ 1 は Danh từ 2 じゃありません," 「じゃありません」 là thể phủ định của 「です」 và được dùng trong giao tiếp hằng ngày. 「ではありません」 được dùng trong văn viết hoặc các bài phát biểu quan trọng.
 サントスさんはがくせいじゃありません。
 Anh Santos không phải là sinh viên.
 Chú ý: 「では」 đọc là 「でわ」 ",1
Câu か," Trợ từ 「か」 
 Trợ từ 「か」 được dùng để biểu thị sự không chắc chắn, sự nghi vấn của người nói. Câu nghi vấn được tạo thành bằng cách thêm 「か」 vào cuối câu. Trong câu nghi vấn, chữ 「か」 ở cuối câu được đọc với giọng cao hơn.
 Câu nghi vấn để xác định xem một nội dung là đúng hay sai.
 Như đã nói ở trên, một câu sẽ trở thành câu hỏi khi ta thêm 「か」 vào cuối câu. Trật tự từ không thay đổi. Câu nghi vấn loại này xác nhận một nội dung là đúng hay sai. Nếu đúng thì trả lời là 「はい」 , không đúng thì là 「いいえ」 . 
 ミラーさんはアメリカじんですか。
 Anh Miller có phải là người Mỹ không?
 はい、アメリカじんです。
 Vâng, anh ấy là người Mỹ
 Câu nghi vấn có nghi vấn từ.
 Thay nghi vấn từ vào vị trí của thành phần câu mà bạn muốn hỏi. Trật tự từ không thay đổi. Thêm 「か」 vào cuối câu.
 あのかたはどなたですか。
 Người kia là ai. 
 「あのかたは」 ミラーさんです。
 Người đó là anh Miller.",1
Danh từ も," 「も」 được dùng khi danh từ diễn tả chủ đề của câu giống với danh từ tương ứng ở câu trước.
 ミラーさんはかいしゃいんです。
 Anh Miller là nhân viên công ty.
 グプたさんもかいしゃいんです。
 Anh Gupta cũng là nhân viên công ty.",1
Danh từ 1 の danh từ 2," 「の」 nối hai danh từ với nhau. Danh từ 1 bổ nghĩa cho danh từ 2. 「の」 trong bài này biểu thị tính sở thuộc (xem thêm bài 2 và 3 về cách dùng 「の」 trong các trường hợp khác).
 ミラーさんはIMCのしゃいんです。
 Anh Miller là nhân viên công ty IMC.",1
~さん," Trong tiếng nhật từ 「さん」 được dùng ngay sau họ của người nghe để thể hiện sự kính trọng khi gọi tên người đó. Từ 「さん」 không được dùng với chính bản thân người nói. 
 あのかたはミラーさんです。
 Người kia là anh Miller.
 Trong trường hợp đã biết tên của người nghe thì không dùng 「あなた」 mà dùng 「さん」 để gọi tên người đó.
 すずき：ミラーさんはがくせいですか。
 Suzuki: Anh có phải là sinh viên không?
 ミラー：いいえ、かいしゃいんです。
 Miller: Không, tôi là nhân viên công ty. ",1
これ/それ/あれ," これ」  「それ」 và 「あれ」 là những đại từ chỉ thị. Về mặt ngữ pháp chúng được dùng như những danh từ.
 「これ」 dùng để chỉ một vật ở gần người nói. 
 「それ」 dùng để chỉ một vật ở gần người nghe.
 「あれ」 dùng để chỉ một vật ở xa người nói và người nghe.
 それはじしょですか。
 Đó có phải là quyển từ điển không ?
 これをください。
 Cho tôi cái này.",2
"この Danh từ
その Danh từ
あの Danh từ"," 「この」  「その」  「あの」 bổ nghĩa cho danh từ.
 「このDanh từ」 dùng để nói tới một vật hay một người nào đó ở gần người nói. 
 「そのDanh từ」 dùng để nói tới một vật hay một người nào đó ở gần người nghe.
 「あのDanh từ」 dùng để nói tới một vật hay một người nào đó xa cả người nói và người nghe.
 あのほんはわたしのです。
 Quyển sách này là của tôi.
 あのかたはどなたですか。
 Vị kia là ai?",2
"そうです。
そうじゃありません。"," 「そうです/そうじゃありませｎ」 được dùng trong câu nghi vấn danh từ để xác định xem một nội dung nào đó là đúng hay sai. Khi đúng thì trả lời là 「はい。そうです」 khi sai thì là 「いいえ、そうじゃありません」 .
 それはテレホンかードですか。
 Đó có phải là thẻ điện thoại không?
 はい、そうです。
 Vâng, phải.
 それはテレホンかードですか。
 Đó có phải là thẻ điện thoại không. 
 いいえ、そうじゃありません。
 Không, không phải
 Đôi lúc động từ 「ちがいます」 (sai, nhầm, không phải) được dùng với nghĩa tương đương với 「そうじゃありません」 .
 それはテレホンカードですか。
 Đó có phải là thẻ điện thoại không?
 いいえ。ちがいます。
 Không, không phải",2
"Câu 1 か, Câu 2 か"," Mẫu câu nghi vấn này dùng để hỏi về sự lựa chọn của người nghe. Người nghe sẽ lựa chọn Câu 1 hoặc Câu 2. Đối với câu nghi vấn loại này, khi trả lời không dùng 「はい」 hay 「いいえ」 mà để nguyên câu lựa chọn.
 これは 「9」 ですか。 「7」 ですか。
 Đây là 「9」 hay 「7」 ?
 「7」 です。
 Đó là 「7」 .",2
