一,NHẤT,một,Một được biểu diễn bởi một ngón tay,1
二,NHỊ,hai,Hai được biểu diễn bởi hai ngón tay,1
三,TAM,ba,Ba được biểu diễn bởi ba ngón tay,1
四,TỨ,bốn,Một hình chữ nhật thì có bốn góc,1
五,NGŨ,năm,Có thể làm chữ kanji với năm que diêm không?,1
六,LỤC,sáu,Đây là cách người trung quốc thể hiện sáu với những ngón tay của họ,1
七,THẤT,bảy,Hai cộng với năm bằng bảy,1
八,BÁT,tám,Nó giống như chữ kantakana　ハ giống như là 八チ(tám).,1
九,CỬU,chín,"Bạn có thể đếm đến mười? Bảy, tám, chín  .. Không.",1
十,THẬP,mười,Kết hợp 2 ngón tay để tạo thành mười,1
百,BÁCH,trăm,"Quay số "" 100 "" 90 độ về bên phải và nó có vẻ như 百",1
千,THIÊN,nghìn,"Thêm ノ đến 10 (十) để tạo ra  ngàn , một số lượng lớn hơn.",1
万,VẠN,vạn,10.000 (vạn) là một con số có 5 chữ số,1
円,VIÊN,"yên,vòng tròn",Đây là thể hiển của 1 vòng tròn,1
口,KHẨU,miệng,Đây là thể hiện của một cái mồm,1
目,MỤC,mắt,Đây là thể hiện của một cái mắt,1
日,NHẬT,"ngày,mặt trời",Đây là thể hiện của mặt trời,2
月,NGUYỆT,"tháng,mặt trăng",Đây là thể hiện của  mặt trăng,2
火,HỎA,lửa,Đây là thể hiện của một ngọn lửa,2
水,THỦY,nước,Nước bắn rơi xung quanh,2
木,MỘC,cây,Đây là thể hiện của một cái cây,2
金,KIM,vàng,Mọi người nói rằng có vàng ở dưới núi,2
土,THỔ,đất,Một mầm nụ trồi ra từ đất,2
曜,DIỆU,ngày mới,"Bắt đầu của một ngày,những con chim hót ""piyo-piyo""",2
本,BẢN,"sách,cơ bản","Đây là gốc của 1 cái cây..Hãy đánh đấu nó với ""ー""",2
人,NHÂN,người,Một người đang đứng với hai chân,2
今,KIM,bây giờ,Bạn đang làm gì bây giờ?,2
寺,TỰ,đền,"Nhìn kia,có một ngôi đền trên mặt đất",2
時,THỜI,thời gian,"Trong ngày,mọi người thường đánh chuông ở trong một cái đền để thông báo thời gian",2
半,BÁN,nửa,"Hãy cắt 3 đoạn thẳng làm hai nửa,tuy nhiên chỉ đoạn thẳng đầu tiên bị đứt ",2
刀,ĐAO,"kiếm,dao",Đây là thể hiện của một thanh kiếm,2
分,PHÂN,"phút,chia",Hãy chia ra.Nó sẽ thành nửa với một con dao,2
上,THƯỢNG,trên,Đây là bên trên của một dòng,3
下,HẠ,dưới,Đây là bên dưới của một dòng,3
中,TRUNG,"giữa,trung tâm",Đây là giữa của một vòng tròn,3
外,NGOẠI,ngoài,Bạn nên hút thuốc(トバコ) bên ngoài,3
右,HỮU,phải,Tôi ăn với tay phải của tôi,3
工,CÔNG,thủ công,Đây là hình dạng của cái thước của người thợ thủ công,3
左,TẢ,trái,Tôi đo thước với tay trái của tôi,3
前,TIỀN,trước,Tôi chuẩn bị cho bữa tối trước khi mặt trăng lên,3
後,HẬU,sau,Một người đang đi  trở lại  trên đường phố.,3
午,NGỌ,trưa,Chữ Kanji này có mười (十) và hai (二). Mười hai (十二) giờ là  trưa  b&gt;.,3
門,MÔN,cổng,Đây là thể hiện của cái cổng,3
間,GIAN,giữa,Chúng ta có thể thấy mặt trời(日) giữa cái cổng(門).,3
東,ĐÔNG,đông,Mặt trời (日) mọc phía đông.Có thể nhìn thấy mặt trời(日) dưới một cái cây(木).,3
西,TÂY,tây,Một(一) trong bốn(四) góc thì là phía tây,3
南,NAM,nam,Hai cái cây trồng trong vườn hướng mặt về phía nam,3
北,BẮC,bắc,Hai người đang quay mặt nhau bởi vì trời lạnh ở phía bắc,3
田,ĐIỀN,"đồng,ruộng",Đây là thể hiện của một cánh đồng,4
力,LỰC,sức mạnh,Một người đàn ông cơ bắt thì có sức mạnh.,4
男,NAM,đàn ông,Một người đàn ông làm việc mạnh mẽ(力) trên cánh đồng(田).,4
女,NỮ,đàn bà,Đây là thể hiện của người đàn bà,4
子,TỬ,trẻ con,Đây là thể hiện của một đứa trẻ con,4
学,HỌC,học,Trẻ con(子) học trong trường.,4
生,SINH,sinh,Một cái cây sinh ra từ đất(土).,4
先,TIÊN,"trước,đầu",Một người đang chạy trước những người khác.,4
何,HÀ,cái gì,"Một người đang mang cái gì đó.""Đó là cái gì?""",4
父,PHỤ,cha, Cha tôi có một bộ ria mép.,4
母,MẪU,mẹ,Đây là thể hiện của một người mẹ,4
年,NIÊN,năm,Mất một năm để gặt lúa.,4
去,KHỨ,"quá khứ,trước","Tôi sống trong quá khứ b&gt;, bây giờ tôi đang bị chôn vùi trong lòng đất (土).",4
毎,MỖI,mỗi,Mỗi người(人) có một người mẹ(母).,4
王,VƯƠNG,vua,Vị vua đang đứng,4
国,QUỐC,đất nước,Vị vua(王) với một viên ngọc sẽ cai quản đất nước,4
見,KIẾN,nhìn,"Để nhìn nhiều thứ,bạn cần một đôi mắt(目) với hai cái chân",5
行,"HÀNH, HÀNG",đi,"Ở góc độ này,bạn phải quyết định đi đâu",5
米,MỄ,"lúa,gạo",Đây là thể hiện của một cây lúa,5
来,LAI,đến,"Khi tháng mười đến,lúa(米) sẽ được thu hoạch.",5
良,LƯƠNG,tốt,Mọi người cảm thấy  tốt với một cái dạ dày no,5
食,THỰC,ăn,Cái làm tôi thấy tốt(良) ở nhà là ăn,5
飲,ẨM,uống,Bạn ăn(食) và uống với cái mồm rộng của bạn,5
会,HỘI,gặp,Hai(二)chúng ta sẽ gặp nhau trong một ngôi nhà.,5
耳,NHĨ,tai,Đây là thể hiện của một cái tai,5
聞,VĂN,nghe,Một  người đang nghe ở cái cổng(門) với tai của họ(耳).,5
言,NGÔN,nói,Bạn nói một vài thứ với cái miệng (口) của bạn,5
話,THOẠI,nói,Mọi người nói sử dụng một nghìn(千) từ.,5
立,LẬP,đứng,Đây là thể hiện của một người đang đứng,5
待,ĐÃI,đợi,Tôi sẽ đợi bạn trên con đường ở phía trước ngôi đền(寺),5
周,CHU,"chạy xung quanh,tuần hoàn",Những gì bạn ăn sẽ trở về với đất (土). Tất cả mọi thứ theo vòng  tuần hoàn b&gt;,5
週,CHU,tuần,Mất một tuần để đi hết(周) con đường này.,5
大,ĐẠI,to,"Khi bạn căng chân tay của bạn, bạn nhìn  lớn  b&gt;",6
小,TIỂU,nhỏ,"Khi bạn uốn cong chân tay của bạn, bạn nhìn  nhỏ  b&gt;",6
高,CAO,cao,Có một tòa tháp cao trên một ngôi nhà.,6
安,AN,rẻ,Người phụ nữ(女) trở nên rẻ mạt  trong ngôi nhà,6
新,TÂN,mới,"Để bắt đầu một cái gì đó  mới  b&gt;, bạn đứng lên (立), và chặt gỗ (木) với một cái rìu.",6
古,CỔ,cũ,"Khi bạn nghe một câu chuyện mười(十) lần,nó trở nên cũ",6
元,NGUYÊN,khỏe mạnh,"Nếu hai(二) người chạy cạnh nhau,họ sẽ trở nên khỏe hơn",6
気,KHÍ,"hơi thở,khí","Nếu bạn thở nhiều, hơi thở  của bạn  có thể đi ra.",6
多,ĐA,nhiều,"Có rất nhiều  ""タ。"".",6
少,"THIẾU, THIỂU",một ít,"Khi bạn cắt một thứ nhỏ(小) ,bạn chỉ thu được một ít",6
広,QUẢNG,rộng,"""Đây là ngôi nhà của tôi.Rộng,phải không nào?""",6
早,TẢO,sớm,Thật là sớm khi dậy vào lúc mười(十) giờ ngày chủ nhật(日）.,6
長,"TRƯỜNG, TRƯỞNG",dài,Đây là thể hiện của một người với mái tóc dài.,6
明,MINH,sáng,Khi mặt trời(日) và mặt trăng(月) kết hợp.Nó trở nên sáng,6
好,"HẢO, HIẾU",thích,Người phụ nữ(女) thích trẻ con(子).,6
友,HỮU,bạn bè, Bạn bè  cho nhau một bàn tay giúp đỡ.,6
入,NHẬP,"nhập,vào",Một người đang chui vào cái lều.,7
出,XUẤT,"xuất,ra",Ra b&gt; là theo lối này.,7
市,THỊ,"thành phố,chợ",Mọi người đi đến chợ để mua sắm.,7
町,ĐINH,"thị trấn,phố",Sử dụng được ruộng lúa (田) và các tuyến đường trong thị trấn,7
村,THÔN,làng,Có một ngôi làng bên ngoài cái cây,7
雨,VŨ,mưa,Chữ kanji này được tạo ra từ mây và những giọt mưa,7
電,ĐIỆN,điện,Trời thì đang mưa(雨) và sét đánh lên trên cánh đồng(田).,7
車,XA,xe,Đây là thể hiện của một cái xe,7
馬,MÃ,ngựa,Đây là thể hiện của một con ngựa,7
駅,DỊCH,nhà ga,Có con ngựa(馬) và người đang vác đồ ở nhà ga,7
社,XÃ,"công ty,đền",Người cung cấp các thứ và cầu nguyện cho vụ mùa bội thu tại một cái  đền  b&gt;,7
校,HIỆU,trường,Cha(父) tôi đến trường để đón tôi.,7
店,ĐIẾM,cửa hàng,"Ở quầy hàng,cà chua(トマト) đang được bày trên một cái hộp",7
銀,NGÂN,bạc,Bạc thì không tốt như vàng(金).,7
病,BỆNH,ốm,Một người ốm đang ngủ trong bệnh viện.,7
院,VIỆN,"tổ chức,cơ sở",Họ đã khỏe (良) và rời bệnh viện ( tổ chức  b&gt;) để về nhà.,7
休,HƯU,nghỉ ,Một người đang nghỉ dưới cái cây(木).,8
走,TẨU,chạy,Tôi  chạy  ngay cả khi tôi đang bị phủ đất (土).,8
起,KHỞI,thức dậy,Tôi sẽ chạy(走) bởi vì tôi thức dậy muộn.,8
貝,BỐI,động vật có vỏ,Đây là hình dạng của  động vật có vỏ ,8
買,MÃI,mua,"Chúng tôi sử dụng để sử dụng vỏ (贝) để  mua  b&gt; các thứ, bây giờ chúng tôi sử dụng hóa đơn.",8
売,MẠI,bán,Một người đang bán một vài thứ.,8
読,ĐỘC,đọc,"Anh ấy nói(言),""Đọc quyển sách bán(売) chạy nhất đi.""",8
書,THƯ,viết,"Với một thanh cọ,tôi viết chữ kanji ""日""",8
帰,QUY,trở lại,Chim nhạn trở lại với tổ của chúng,8
