三時,TAM THỜI,ba giờ,
三月,TAM NGUYỆT,tháng ba,
三日,TAM NHẬT,mồng 3,
三人,TAM NHÂN,ba người,
三歳,TAM TUẾ,ba tuổi,
三日月,TAM NHẬT NGUYỆT,trăng non,
五,NGŨ,năm,
五つ,NGŨ,mồng 5,
五日,NGŨ NHẬT,lần thứ 5,
五年,NGŨ NIÊN,năm năm,
五人,NGŨ NHÂN,năm người,
五歳,NGŨ TUẾ,năm tuổi,
七,THẤT,bảy,
七つ,THẤT,bảy,
七時,THẤT THỜI,bảy giờ,
七分,THẤT ,bảy phút,
七月,THẤT NGUYỆT,tháng bảy,
七日,THẤT NHẬT,mồng 7,
七人,THẤT NHÂN,bảy người,
七夕,THẤT TỊCH,lễ thất tịch,
九,CỬU,chín,
九つ,CỬU,chín cái,
く時,THỜI,các cụm từ khi,
九日,CỬU NHẬT,lần thứ 9,
九年,CỬU NIÊN,chín năm,
九歳,CỬU TUẾ,chín tuổi,
九人,CỬU NHÂN,chín người,
百,BÁCH,một trăm,
二百,NHỊ BÁCH,hai trăm,
三百,TAM BÁCH,ba trăm,
六百,LỤC BÁCH,sáu trăm,
八百,BÁT BÁCH,yao,
八百屋,BÁT BÁCH ỐC,người bán rau,
百科事典,BÁCH KHOA SỰ ĐIỂN,bách khoa toàn thư,
百貨店,BÁCH HÓA ĐIẾM,cục lưu trữ,
火曜日,HỎA DIỆU NHẬT,thứ ba,
火曜日,HỎA DIỆU NHẬT,thứ ba,
火事,HỎA SỰ,cháy,
火山,"HỎA SAN,SƠN",núi lửa,
花火,HOA HỎA,pháo bông,
火星,HỎA TINH,hỏa tinh,
消火器,TIÊU HỎA KHÍ,bình cứu hỏa,
火災,HỎA TAI,cháy,
木曜日,MỘC DIỆU NHẬT,thứ năm,
木曜日,MỘC DIỆU NHẬT,thứ năm,
木綿,MỘC MIÊN,bông,
木村さん,MỘC THÔN,kimura,
木製,MỘC CHẾ,gỗ,
大木,ĐẠI MỘC,cây lớn,
材木,TÀI MỘC,gỗ,
木陰,MỘC ÂM,bóng,
土曜日,THỔ DIỆU NHẬT,thứ bảy,
土曜日,THỔ DIỆU NHẬT,thứ bảy,
お土産,THỔ SẢN,quà lưu niệm,
土地,THỔ ĐỊA,đất,
土星,THỔ TINH,sao thổ,
粘土,NIÊM THỔ,đất sét,
土台,THỔ THAI,nền tảng,
土足現金,THỔ TÚC HIỆN KIM,giày dép bằng tiền mặt,
本,BỔN,điều này,
日本,NHẬT BỔN,sơn mài nhật,
左側,TẢ TRẮC,trái,
万歳,VẠN TUẾ,vô,
万一,VẠN NHẤT,theo một số cơ hội,
万引き,VẠN DẪN,ăn cắp,
口,KHẨU,miệng,
入り口,NHẬP KHẨU,lối vào,
出口,XUẤT KHẨU,lối ra,
人口,NHÂN KHẨU,dân số,
北口,BẮC KHẨU,bắc tuyển sinh,
中央口,TRUNG ƯƠNG KHẨU,lối vào trung tâm,
窓口,SONG KHẨU,tiếp xúc,
口調,KHẨU ĐIỀU,giọng,
一本,NHẤT BỔN,độc thân,
二本,NHỊ BỔN,hai,
三本,TAM BỔN,ba,
日本語,NHẬT BỔN NGỮ,nhật bản,
山本さん,"SAN,SƠN BỔN",yamamoto,
今,KIM,hiện nay,
今月,KIM NGUYỆT,tháng này,
今日,KIM NHẬT,hôm nay,
今晩,KIM VÃN,tối nay,
今週,KIM CHU,tuần này,
今年,KIM NIÊN,năm nay,
今朝,KIM TRIỀU,sáng nay,
今度,KIM ĐỘ,thời gian này,
一時,NHẤT THỜI,thời gian,
時々,THỜI,đôi khi,
時間,THỜI GIAN,thời gian,
一時間,NHẤT THỜI GIAN,một giờ,
時計,THỜI KẾ,đồng hồ,
その時,THỜI,vào thời điểm đó,
時代,THỜI ĐẠI,kỷ nguyên,
時刻表,THỜI KHẮC BIỂU,thời khóa biểu,
刀,ĐAO,gươm,
日本刀,NHẬT BỔN ĐAO,thanh kiếm nhật,
短刀,ĐOẢN ĐAO,dao găm,
外,NGOẠI,bên ngoài,
外国,NGOẠI QUỐC,nước ngoài,
