三,ba,TAM,1
三つ,ba,TAM,1
三時,ba giờ,TAM THỜI,1
三月,tháng ba,TAM NGUYỆT,1
三日,mồng 3,TAM NHẬT,1
三人,ba người,TAM NHÂN,1
三歳,ba tuổi,TAM TUẾ,1
三日月,trăng non,TAM NHẬT NGUYỆT,1
五,năm,NGŨ,1
五つ,mồng 5,NGŨ,1
五時,năm giờ,NGŨ THỜI,1
五月,có thể,NGŨ NGUYỆT,1
五日,lần thứ 5,NGŨ NHẬT,1
五年,năm năm,NGŨ NIÊN,1
五人,năm người,NGŨ NHÂN,1
五歳,năm tuổi,NGŨ TUẾ,1
七,bảy,THẤT,1
七つ,bảy,THẤT,1
七時,bảy giờ,THẤT THỜI,1
七分,bảy phút,THẤT ,1
七月,tháng bảy,THẤT NGUYỆT,1
七日,mồng 7,THẤT NHẬT,1
七人,bảy người,THẤT NHÂN,1
七夕,lễ thất tịch,THẤT TỊCH,1
九,chín,CỬU,1
九つ,chín cái,CỬU,1
く時,các cụm từ khi,THỜI,1
九月,tháng chín,CỬU NGUYỆT,1
九日,lần thứ 9,CỬU NHẬT,1
九年,chín năm,CỬU NIÊN,1
九歳,chín tuổi,CỬU TUẾ,1
九人,chín người,CỬU NHÂN,1
百,một trăm,BÁCH,1
二百,hai trăm,NHỊ BÁCH,1
三百,ba trăm,TAM BÁCH,1
六百,sáu trăm,LỤC BÁCH,1
八百,yao,BÁT BÁCH,1
八百屋,người bán rau,BÁT BÁCH ỐC,1
百科事典,bách khoa toàn thư,BÁCH KHOA SỰ ĐIỂN,1
百貨店,cục lưu trữ,BÁCH HÓA ĐIẾM,1
一万,mười nghìn,NHẤT VẠN,1
十万,trăm nghìn,THẬP VẠN,1
百万,một triệu,BÁCH VẠN,1
万年筆,cây viết máy,VẠN NIÊN BÚT,1
万歳,vô,VẠN TUẾ,1
万一,theo một số cơ hội,VẠN NHẤT,1
万引き,ăn cắp,VẠN DẪN,1
口,miệng,KHẨU,1
入り口,lối vào,NHẬP KHẨU,1
出口,lối ra,XUẤT KHẨU,1
人口,dân số,NHÂN KHẨU,1
北口,bắc tuyển sinh,BẮC KHẨU,1
中央口,lối vào trung tâm,TRUNG ƯƠNG KHẨU,1
窓口,tiếp xúc,SONG KHẨU,1
口調,giọng,KHẨU ĐIỀU,1
火曜日,thứ ba,HỎA DIỆU NHẬT,2
火曜日,thứ ba,HỎA DIỆU NHẬT,2
火事,cháy,HỎA SỰ,2
火山,núi lửa,"HỎA SAN,SƠN",2
花火,pháo bông,HOA HỎA,2
火星,hỏa tinh,HỎA TINH,2
消火器,bình cứu hỏa,TIÊU HỎA KHÍ,2
火災,cháy,HỎA TAI,2
木曜日,thứ năm,MỘC DIỆU NHẬT,2
木曜日,thứ năm,MỘC DIỆU NHẬT,2
木綿,bông,MỘC MIÊN,2
木村さん,kimura,MỘC THÔN,2
木製,gỗ,MỘC CHẾ,2
大木,cây lớn,ĐẠI MỘC,2
材木,gỗ,TÀI MỘC,2
木陰,bóng,MỘC ÂM,2
土曜日,thứ bảy,THỔ DIỆU NHẬT,2
土曜日,thứ bảy,THỔ DIỆU NHẬT,2
お土産,quà lưu niệm,THỔ SẢN,2
土地,đất,THỔ ĐỊA,2
土星,sao thổ,THỔ TINH,2
粘土,đất sét,NIÊM THỔ,2
土台,nền tảng,THỔ THAI,2
土足現金,giày dép bằng tiền mặt,THỔ TÚC HIỆN KIM,2
本,điều này,BỔN,2
日本,sơn mài nhật,NHẬT BỔN,2
一本,độc thân,NHẤT BỔN,2
二本,hai,NHỊ BỔN,2
三本,ba,TAM BỔN,2
日本語,nhật bản,NHẬT BỔN NGỮ,2
山本さん,yamamoto,"SAN,SƠN BỔN",2
今,hiện nay,KIM,2
今月,tháng này,KIM NGUYỆT,2
今日,hôm nay,KIM NHẬT,2
今晩,tối nay,KIM VÃN,2
今週,tuần này,KIM CHU,2
今年,năm nay,KIM NIÊN,2
今朝,sáng nay,KIM TRIỀU,2
今度,thời gian này,KIM ĐỘ,2
一時,thời gian,NHẤT THỜI,2
時々,đôi khi,THỜI,2
時間,thời gian,THỜI GIAN,2
一時間,một giờ,NHẤT THỜI GIAN,2
時計,đồng hồ,THỜI KẾ,2
その時,vào thời điểm đó,THỜI,2
時代,kỷ nguyên,THỜI ĐẠI,2
時刻表,thời khóa biểu,THỜI KHẮC BIỂU,2
刀,gươm,ĐAO,2
日本刀,thanh kiếm nhật,NHẬT BỔN ĐAO,2
短刀,dao găm,ĐOẢN ĐAO,2
外,bên ngoài,NGOẠI,3
外国,nước ngoài,NGOẠI QUỐC,3
外国人,người nước ngoài,NGOẠI QUỐC NHÂN,3
外の,ngoài,NGOẠI,3
海外,nước ngoài,HẢI NGOẠI,3
意外な,làm ngạc nhiên,Ý NGOẠI,3
外す,tẩy,NGOẠI,3
外科,phẫu thuật,NGOẠI KHOA,3
右,đúng,HỮU,3
右手,đúng,HỮU THỦ,3
右足,chân phải,HỮU TÚC,3
右側,đúng,HỮU TRẮC,3
左右,trái và phải,TẢ HỮU,3
右翼,cánh phải,HỮU DỰC,3
左,trái,TẢ,3
左手,bàn tay trái,TẢ THỦ,3
左側,trái,TẢ TRẮC,3
左右,trái và phải,TẢ HỮU,3
左翼,người thuận tay trái,TẢ DỰC,3
左利き,thuận tay trái,TẢ LỢI,3
後ろ,phía sau,HẬU,3
クラスの後,sau lớp học,HẬU,3
後で,sau,HẬU,3
午後,buổi chiều,NGỌ HẬU,3
最後,cuối cùng,TỐI HẬU,3
後半,nửa cuối,HẬU BÁN,3
後ほど,sau,HẬU,3
後れる,được trì hoãn,HẬU,3
午前,buổi sáng,NGỌ TIỀN,3
午後,buổi chiều,NGỌ HẬU,3
午前中,vào buổi sáng,NGỌ TIỀN TRUNG,3
正午,buổi trưa,CHÁNH NGỌ,3
間,giữa,GIAN,3
時間,thời gian,THỜI GIAN,3
二時間,hai giờ,NHỊ THỜI GIAN,3
間に合う,luôn đúng giờ,GIAN HỢP,3
間違い,sai lầm,GIAN VI,3
人間,nhân loại,NHÂN GIAN,3
世間,thế giới,THẾ GIAN,3
