つもる,Được chất,積もる,,
うける,Nhận,受ける,,
せんしょう,"thắng trận ,
chiến thắng",戦勝,,
じゅうよう,sự trọng yếu/sự quan trọng,重要,,
ほうそう,"sự phát thanh,sự loan truyền",放送,,
ふかい,Sâu,深い,,
くるしい,"Đau khổ, vất vả, khó nhọc, khó khăn",苦しい,,
ひょうげん,"từ ngữ ,
sự biểu hiện/ sự diễn tả/ sự thể hiện",表現,,
かんせい,Hoàn thành,完成,,
たんとう,chịu trách nhiệm/đảm đương,担当,,
ほうげん,"tiếng địa phương,phương ngữ",方言,,
こうとう,"sự thi nói,sự thi vấn đáp,nói,lời nói",口頭,,
さぎょう,Công việc,作業,,
のうか,"nông hộ,nông dân ,
nông gia ,
nhà nông",農家,,
へんじ,trả lời; đáp lời,返事,,
かんきょう,"Hoàn cảnh, môi trường",環境,,
あたり,vùng lân cận; hàng xóm,辺り,,
ばんぐみ,chương trình tivi; kênh,番組,,
きょういく,Giáo dục,教育,,
うしろ,Phía sau,後ろ,,
ちょくご,ngay sau khi,直後,,
ちょくぜん,ngay trước khi,直前,,
しょうらい,Tương lai,将来,,
はなしあう,Nói chuyện với nhau,話し合う,,
かしらもじ,Chữ viết hoa,頭文字,,
きゅうそく,nghỉ giải lao/nghỉ ngơi,休息,,
りそく,lợi tức/lãi (ngân hàng),利息,,
えがお,khuôn mặt tươi cười/vẻ mặt tươi cười/khuôn dung tươi tỉnh/vẻ mặt tươi tỉnh/khuôn mặt tươi roi rói/vẻ tươi cười,笑顔,,
にあう,"Phù hợp, thích hợp",似合う,,
かける,"Treo, mắc, đặt bẫy",掛ける,,
こきゅう,"Hít thở, hô hấp",呼吸,,
くびわ,vòng cổ,首輪,,
いふく,y phục/quần áo/trang phục,衣服,,
しゅうせい,sự tu sửa/sự đính chính/đính chính,修正,,
もくひょう,Mục tiêu,目標,,
じけん,Sự kiện,事件,,
つく,Đến,着く,,
かおいろがんしょく,"Diện mạo, dung nhan, sắc mặt",顔色,,
かす,"cho vay, cho mượn",貸す,,
たいおう,Sự đáp ứng,対応,,
ぶか,cấp dưới,部下,,
しゅしょう,Thủ tướng,首相,,
