眠い　とき、ガムを　かみながら　運転します。,"nemui toki, gamu o kami nagara unten shi masu. ",Khi lái xe mà buồn ngủ thì tôi nhai kẹo cao su.,"眠い　とき、ガムを　かみながら　運転します。
nemui toki, gamu o kami nagara unten shi masu. ","眠い　とき、ガムを　かみながら　運転します。
Khi lái xe mà buồn ngủ thì tôi nhai kẹo cao su.","nemui toki, gamu o kami nagara unten shi masu. 
Khi lái xe mà buồn ngủ thì tôi nhai kẹo cao su.",28
。。。そうですか。わたしは　車を　止めて、しばらく　寝ます。,"... sou desu ka. watashi ha kuruma o tome te, shibaraku ne masu. ",...Thế à. Tôi thì dừng xe và ngủ một lát.,"。。。そうですか。わたしは　車を　止めて、しばらく　寝ます。
... sou desu ka. watashi ha kuruma o tome te, shibaraku ne masu. ","。。。そうですか。わたしは　車を　止めて、しばらく　寝ます。
...Thế à. Tôi thì dừng xe và ngủ một lát.","... sou desu ka. watashi ha kuruma o tome te, shibaraku ne masu. 
...Thế à. Tôi thì dừng xe và ngủ một lát.",28
太郎、テレビを　見ながら　勉強しては　いけませんよ。,"tarou, terebi o mi nagara benkyou shi te ha ike mase n yo. ","Taro, không vừa học vừa xem tivi.","太郎、テレビを　見ながら　勉強しては　いけませんよ。
tarou, terebi o mi nagara benkyou shi te ha ike mase n yo. ","太郎、テレビを　見ながら　勉強しては　いけませんよ。
Taro, không vừa học vừa xem tivi.","tarou, terebi o mi nagara benkyou shi te ha ike mase n yo. 
Taro, không vừa học vừa xem tivi.",28
。。。はい。,... hai. ,...Vâng.,"。。。はい。
... hai. ","。。。はい。
...Vâng.","... hai. 
...Vâng.",28
彼は　働きながら　大学で　勉強して　います。,kare ha hataraki nagara daigaku de benkyou shi te i masu. ,Anh ấy vừa đi học ở trường đại học vừa đi làm.,"彼は　働きながら　大学で　勉強して　います。
kare ha hataraki nagara daigaku de benkyou shi te i masu. ","彼は　働きながら　大学で　勉強して　います。
Anh ấy vừa đi học ở trường đại học vừa đi làm.","kare ha hataraki nagara daigaku de benkyou shi te i masu. 
Anh ấy vừa đi học ở trường đại học vừa đi làm.",28
。。。そうですか。　偉いですね。,... sou desu ka. erai desu ne. ,...Thế à. Đáng khâm phục nhỉ.,"。。。そうですか。　偉いですね。
... sou desu ka. erai desu ne. ","。。。そうですか。　偉いですね。
...Thế à. Đáng khâm phục nhỉ.","... sou desu ka. erai desu ne. 
...Thế à. Đáng khâm phục nhỉ.",28
休みの　日は　いつも　何を　して　いますか。,yasumi no hi ha itsumo nani o shi te i masu ka. ,Ngày nghỉ anh/chị thường làm gì.,"休みの　日は　いつも　何を　して　いますか。
yasumi no hi ha itsumo nani o shi te i masu ka. ","休みの　日は　いつも　何を　して　いますか。
Ngày nghỉ anh/chị thường làm gì.","yasumi no hi ha itsumo nani o shi te i masu ka. 
Ngày nghỉ anh/chị thường làm gì.",28
。。。そうですね。　たいてい　絵を　かいて　います。,... sou desu ne. taitei e o kai te i masu. ,"...À, thông thường thì tôi vẽ tranh.","。。。そうですね。　たいてい　絵を　かいて　います。
... sou desu ne. taitei e o kai te i masu. ","。。。そうですね。　たいてい　絵を　かいて　います。
...À, thông thường thì tôi vẽ tranh.","... sou desu ne. taitei e o kai te i masu. 
...À, thông thường thì tôi vẽ tranh.",28
ワット先生は　熱心だし、まじめだし、それに　経験も　あります。,"watto sensei ha nesshin da shi, majime da shi, sore ni keiken mo ari masu. ","Thầy Watt vừa nhiệt tình, nghiêm túc, hơn nữa lại có kinh nghiệm.","ワット先生は　熱心だし、まじめだし、それに　経験も　あります。
watto sensei ha nesshin da shi, majime da shi, sore ni keiken mo ari masu. ","ワット先生は　熱心だし、まじめだし、それに　経験も　あります。
Thầy Watt vừa nhiệt tình, nghiêm túc, hơn nữa lại có kinh nghiệm.","watto sensei ha nesshin da shi, majime da shi, sore ni keiken mo ari masu. 
Thầy Watt vừa nhiệt tình, nghiêm túc, hơn nữa lại có kinh nghiệm.",28
。。。いい　先生ですね。,... ii sensei desu ne. ,...Đúng là một thầy giáo tốt.,"。。。いい　先生ですね。
... ii sensei desu ne. ","。。。いい　先生ですね。
...Đúng là một thầy giáo tốt.","... ii sensei desu ne. 
...Đúng là một thầy giáo tốt.",28
田中さんは　よく　旅行を　しますが、外国へは　行きませんね。,"tanaka san ha yoku ryokou o shi masu ga, gaikoku he ha iki mase n ne. ",Anh Tanaka hay đi du lịch nhưng không đi nước ngoài nhỉ.,"田中さんは　よく　旅行を　しますが、外国へは　行きませんね。
tanaka san ha yoku ryokou o shi masu ga, gaikoku he ha iki mase n ne. ","田中さんは　よく　旅行を　しますが、外国へは　行きませんね。
Anh Tanaka hay đi du lịch nhưng không đi nước ngoài nhỉ.","tanaka san ha yoku ryokou o shi masu ga, gaikoku he ha iki mase n ne. 
Anh Tanaka hay đi du lịch nhưng không đi nước ngoài nhỉ.",28
