それは　電子辞書ですか。,sore ha denshi jisho desu ka. ,Đó có phải là từ điển điện tử không?,"それは　電子辞書ですか。
sore ha denshi jisho desu ka. ","それは　電子辞書ですか。
Đó có phải là từ điển điện tử không?","sore ha denshi jisho desu ka. 
Đó có phải là từ điển điện tử không?",36
。。。ええ。　知らない　ことばを　聞いたら、すぐ　調べられるように持って　いるんです。,"... ee. shira nai kotoba o kii tara, sugu shiraberareru you ni motte iru n desu. ",...Vâng. Tôi mang theo người để có thể tra được ngay khi gặp phải từ mà mình không biết.,"。。。ええ。　知らない　ことばを　聞いたら、すぐ　調べられるように持って　いるんです。
... ee. shira nai kotoba o kii tara, sugu shiraberareru you ni motte iru n desu. ","。。。ええ。　知らない　ことばを　聞いたら、すぐ　調べられるように持って　いるんです。
...Vâng. Tôi mang theo người để có thể tra được ngay khi gặp phải từ mà mình không biết.","... ee. shira nai kotoba o kii tara, sugu shiraberareru you ni motte iru n desu. 
...Vâng. Tôi mang theo người để có thể tra được ngay khi gặp phải từ mà mình không biết.",36
カレンダーの　あの　赤い　丸は　どういう　意味ですか。,karendā no ano akai maru ha douiu imi desu ka. ,Vòng tròn đỏ ở tờ lịch có nghĩa là gì?,"カレンダーの　あの　赤い　丸は　どういう　意味ですか。
karendā no ano akai maru ha douiu imi desu ka. ","カレンダーの　あの　赤い　丸は　どういう　意味ですか。
Vòng tròn đỏ ở tờ lịch có nghĩa là gì?","karendā no ano akai maru ha douiu imi desu ka. 
Vòng tròn đỏ ở tờ lịch có nghĩa là gì?",36
。。。ごみの　日です。　忘れないように、つけて　あるんです。,"... gomi no hi desu. wasure nai you ni, tsuke te aru n desu. ",...Đó là ngày đổ rác. Tôi ghi sẵn để không quên.,"。。。ごみの　日です。　忘れないように、つけて　あるんです。
... gomi no hi desu. wasure nai you ni, tsuke te aru n desu. ","。。。ごみの　日です。　忘れないように、つけて　あるんです。
...Đó là ngày đổ rác. Tôi ghi sẵn để không quên.","... gomi no hi desu. wasure nai you ni, tsuke te aru n desu. 
...Đó là ngày đổ rác. Tôi ghi sẵn để không quên.",36
布団には　もう　慣れましたか。,futon ni ha mou nare mashi ta ka. ,Anh/Chị đã quen với futon (đệm và chăn đắp kiểu Nhật) chưa?,"布団には　もう　慣れましたか。
futon ni ha mou nare mashi ta ka. ","布団には　もう　慣れましたか。
Anh/Chị đã quen với futon (đệm và chăn đắp kiểu Nhật) chưa?","futon ni ha mou nare mashi ta ka. 
Anh/Chị đã quen với futon (đệm và chăn đắp kiểu Nhật) chưa?",36
。。。はい。初めは　なかなか　寝られませんでしたが、今は　よく寝られるように　なりました。,"... hai. hajime ha nakanaka nerare mase n deshi ta ga, ima ha yoku nerareru you ni nari mashi ta. ","...Rồi. Đầu tiên thì hơi khó ngủ, nhưng bây giờ thì tôi có thể ngủ tốt rồi.","。。。はい。初めは　なかなか　寝られませんでしたが、今は　よく寝られるように　なりました。
... hai. hajime ha nakanaka nerare mase n deshi ta ga, ima ha yoku nerareru you ni nari mashi ta. ","。。。はい。初めは　なかなか　寝られませんでしたが、今は　よく寝られるように　なりました。
...Rồi. Đầu tiên thì hơi khó ngủ, nhưng bây giờ thì tôi có thể ngủ tốt rồi.","... hai. hajime ha nakanaka nerare mase n deshi ta ga, ima ha yoku nerareru you ni nari mashi ta. 
...Rồi. Đầu tiên thì hơi khó ngủ, nhưng bây giờ thì tôi có thể ngủ tốt rồi.",36
ショパンの　曲が　弾けるように　なりましたか。,shopan no kyoku ga hajikeru you ni nari mashi ta ka. ,Anh/Chị đã chơi được nhạc của Sô-panh chưa?,"ショパンの　曲が　弾けるように　なりましたか。
shopan no kyoku ga hajikeru you ni nari mashi ta ka. ","ショパンの　曲が　弾けるように　なりましたか。
Anh/Chị đã chơi được nhạc của Sô-panh chưa?","shopan no kyoku ga hajikeru you ni nari mashi ta ka. 
Anh/Chị đã chơi được nhạc của Sô-panh chưa?",36
。。。いいえ、まだ　弾けません。,"... iie, mada hike mase n. ","...Chưa, tôi chưa chơi được.","。。。いいえ、まだ　弾けません。
... iie, mada hike mase n. ","。。。いいえ、まだ　弾けません。
...Chưa, tôi chưa chơi được.","... iie, mada hike mase n. 
...Chưa, tôi chưa chơi được.",36
早く　弾けるように　なりたいです。,hayaku hajikeru you ni nari tai desu. ,Tôi muốn sớm chơi được.,"早く　弾けるように　なりたいです。
hayaku hajikeru you ni nari tai desu. ","早く　弾けるように　なりたいです。
Tôi muốn sớm chơi được.","hayaku hajikeru you ni nari tai desu. 
Tôi muốn sớm chơi được.",36
工場が　できてから、この　近くの　海では　泳げなく　なりました。,"koujou ga deki te kara, kono chikaku no umi de ha oyoge naku nari mashi ta. ",Từ khi có nhà máy thì biển ở quanh đây không bơi được nữa.,"工場が　できてから、この　近くの　海では　泳げなく　なりました。
koujou ga deki te kara, kono chikaku no umi de ha oyoge naku nari mashi ta. ","工場が　できてから、この　近くの　海では　泳げなく　なりました。
Từ khi có nhà máy thì biển ở quanh đây không bơi được nữa.","koujou ga deki te kara, kono chikaku no umi de ha oyoge naku nari mashi ta. 
Từ khi có nhà máy thì biển ở quanh đây không bơi được nữa.",36
。。。そうですか。残念ですね。,... sou desu ka. zannen desu ne. ,...Thế à? Điều đó thật đáng tiếc.,"。。。そうですか。残念ですね。
... sou desu ka. zannen desu ne. ","。。。そうですか。残念ですね。
...Thế à? Điều đó thật đáng tiếc.","... sou desu ka. zannen desu ne. 
...Thế à? Điều đó thật đáng tiếc.",36
