41.0 きれいな　お皿ですね。,41.0,"kirei na o sara desu ne. 
Cái đĩa đẹp nhỉ."
41.1 。。。ええ、結婚の　お祝いに　田中さんが　くださいました。,41.1,"... ee, kekkon no oiwai ni tanaka san ga kudasai mashi ta. 
...Vâng, anh Tanaka tặng tôi làm quà cưới đấy."
41.2 お母さん、あの　猿に　お菓子を　やっても　いい？,41.2,"okaasan, ano saru ni okashi o yatte mo ii? 
Mẹ ơi, con cho con khỉ ăn kẹo có được không?"
41.3 。。。いいえ。　あそこにえさを　やってはいけないと　書いてありますよ。,41.3,"... iie. asoko ni esa o yatte ha ike nai to kai te ari masu yo. 
...Không. Ở kia có ghi là không được cho (khỉ) ăn đấy."
41.4 相撲を　見に　行った　ことが　ありますか。,41.4,"sumou o mi ni okonatta koto ga ari masu ka. 
Anh/Chị đã bao giờ đi xem sumo chưa?"
41.5 。。。ええ、　この間　部長に　連れて　行って　いただきました。,41.5,"... ee, konokan buchou ni tsure te okonatte itadaki mashi ta. 
...Rồi. Hôm trước tôi được trưởng phòng dẫn đi xem. "
41.6 とても　おもしろかったです。,41.6,"totemo omoshirokatta desu. 
Vui lắm."
41.7 タワポンさん、夏休みの　ホームステイは　どうでしたか。,41.7,"tawapon san, natsuyasumi no hōmusutei ha dou deshi ta ka. 
Anh Thawaphon, chuyến đi homestay kì nghỉ hè vừa rồi thế nào?"
41.8 。。。楽しかったです。　家族の　皆さんが　とても　親切に　してくださいました。,41.8,"... tanoshikatta desu. kazoku no minasan ga totemo shinsetsu ni shi te kudasai mashi ta. 
...Rất vui. Mọi người trong dia đình đối xử với tôi rất thân thiện.."
41.9 お子さんの　誕生日には　どんな　ことを　して　あげますか。,41.9,"okosan no tanjou bi ni ha donna koto o shi te age masu ka. 
Anh/Chị làm gì cho cháu vào dịp sinh nhật."
41.10 。。。友達を　呼んで、パーティーを　して　やります。,41.10,"... tomodachi o yon de, pātī o shi te yari masu. 
...Tôi mời các bạn của cháu đến và làm tiệc."
41.11 新しい　コピー機の　使い方が　よく　わからないんですが、ちょっと　教えて　くださいませんか。,41.11,"atarashii kopī ki no tsukaikata ga yoku wakara nai n desu ga, chotto oshie te kudasai mase n ka. 
Tôi không biết sử dụng cái máy photocopy mới. Anh chị làm ơn chỉ cho tôi có được không?"
41.12 。。。いいですよ。,41.12,"... ii desu yo. 
...Vâng, được rồi."
