5.0 あした　どこへ　行きますか。,5.0,"ashita doko he iki masu ka. 
Ngày mai anh/chị đi đâu?"
5.1 。。。奈良へ　行きます。,5.1,"... nara he iki masu. 
...Tôi đi Nara."
5.2 日曜日　どこへ　行きましたか。,5.2,"nichiyoubi doko he iki mashi ta ka. 
Chủ nhật anh/chị đã đi đâu?"
5.3 。。。どこ「へ」も行きませんでした。,5.3,"... doko 'he' mo iki mase n deshi ta. 
...Tôi không đi đâu cả."
5.4 。。。どこ「へ」も　いきませんでした。,5.4,"... doko 'he' mo iki mase n deshi ta. 
"
5.5 何で　東京へ　行きますか。,5.5,"nande toukyou he iki masu ka. 
Anh/chị đi Tokyo bằng phương tiện gì?"
5.6 。。。新幹線で　行きます。,5.6,"... shinkansen de iki masu. 
...Tôi đi bằng Shinansen."
5.7 だれと　東京へ　行きますか。,5.7,"dare to toukyou he iki masu ka. 
Anh/chị đi Tokyo cùng với ai?"
5.8 。。。山田さんと　行きます。,5.8,"... yamada san to iki masu. 
...Tôi đi cùng với ông/bà Yamada."
5.9 いつ　日本へ　来ましたか。,5.9,"i tsu nippon he ki mashi ta ka. 
Anh/chị đến Nhật bao giờ?"
5.10 。。。３月２５日に　来ました。,5.10,"... sangatsu ni go nichi ni ki mashi ta. 
...Tôi đến Nhật vào ngày 25 tháng 3."
5.11 誕生日は　いつですか。,5.11,"tanjou bi ha i tsu desu ka. 
Sinh nhật của anh/chị là ngày nào?"
5.12 。。。６月１３日です。,5.12,"... rokugatsu ichi san nichi desu. 
...Ngày 13 tháng 6."
