打つ,うつ,"",Đánh,"",v
近頃,ちかごろ,"CẬN, CẤN, KÍ KHOẢNH, KHUYNH, KHUỂ",gần đây,"CẬN, CẤN, KÍ KHOẢNH, KHUYNH, KHUỂ",n
不足,ふそく,"BẤT, PHẦU, PHỦ, PHI TÚC",khiếm khuyết,"BẤT, PHẦU, PHỦ, PHI TÚC",n
現在,げんざい,HIỆN TẠI,Hiện tại,HIỆN TẠI, n
成績,せいせき,THÀNH TÍCH,"thành tích ,
thánh tích",THÀNH TÍCH,n
状態,じょうたい,TRẠNG THÁI,Trạng thái,TRẠNG THÁI,n
怠ける,なまける,"","Lười biếng, sơ hở","",n
冷める,さめる,"",Trở nên lạnh,"",v
許す,ゆるす,hứa,"Bằng lòng, cho phép, tha thứ",hứa,v
栄養,えいよう,VINH DƯỠNG,Dinh dưỡng,VINH DƯỠNG,n
替える,かえる,"",Thay,"",v
祭り,まつり,"",Buổi lễ,"", n
立派,りっぱ,LẬP PHÁI,Tuyệt vời,LẬP PHÁI, a-na
理由,りゆう,LÝ DO,"Lý do, nguyên nhân",LÝ DO,n
手術,しゅじゅつ,THỦ THUẬT,Phẩu thuật,THỦ THUẬT,v/n
中央,ちゅうおう,TRUNG ƯƠNG,Trung ương,TRUNG ƯƠNG,n
椅子,いす,"Y, Ỷ TỬ, TÍ","ghế,cái ghế","Y, Ỷ TỬ, TÍ",n
履歴書,りれきしょ,LÝ LỊCH THƯ,Bản lý lịch,LÝ LỊCH THƯ, n
観客,かんきゃく,QUAN KHÁCH,quan khách; người xem,QUAN KHÁCH,n
勤める,つとめる,"","Được thuê, đi làm","",v
鉄,てつ,THIẾT,sắt; thép,THIẾT,n
攻撃,こうげき,CÔNG KÍCH,"Công kích, tấn công",CÔNG KÍCH,v/n
健在,けんざい,KIỆN TẠI,sức khoẻ tốt/khoẻ mạnh,KIỆN TẠI, 
緊張,きんちょう,KHẨN TRƯƠNG,"Hồi hộp, căng thẳng",KHẨN TRƯƠNG, n
事情,じじょう,SỰ TÌNH,"Tình hình, tình trạng",SỰ TÌNH,n
関連,かんれん,LIÊN,sự liên quan/sự liên hệ/sự quan hệ/liên quan/liên hệ/quan hệ,LIÊN,n
タイヤ,タイヤ,"","tire mark, tyre mark","",n
連絡先,れんらくさき,"",tiếp xúc với địa chỉ,"",n
下りる,おりる,"",hạ (xuống); đi (xuống),"",v1
否定形,ひていかたち,"",negative form,"",n
繋ぐ,つなぐ,"",buộc vào; thắt .,"","v5g, vt"
サボる,サボる,"",trốn (việc); bùng (học),"","v5r, vi"
事務員,じむいん,"",nhân viên làm việc; nhân viên (văn phòng) .,"",n
頭に浮かぶ,あたまにうかぶ,"","to come to mind, to pop into one's head","","exp, vi, v5b"
偶に,ぐうに,"",thi thoảng; đôi khi; thỉnh thoảng; có lúc .,"","adv, suf"
些とも,ちっとも,"",không ...một chút gì,"",adv
