そのまま,không thay đổi; như vốn dĩ; để nó như thế; để nguyên,"",其の儘,
ぶんかさい,lễ văn hóa,"",文化祭,
ぶんけい,khoa học xã hội; khoa học nhân văn,"",文型,
みならい,"sự học bằng cách quan sát; sự học nghề (học việc) trên thực tế, người học nghề trên thực tế; sự nhìn rồi bắt chước theo","",見習,
やくだつ,có ích; có tác dụng; phục vụ mục đích,"",役立つ,
はっかん,"sự đổ mồ hôi, sự hàn thiếc, sự hấp hơi","",発汗,
ひやあせ,mồ hôi lạnh .,"",冷汗,
いきぐるしい,hầm hơi,"",息苦しい,
かおまけ,sự xấu hổ; xấu hổ; ngượng; ngượng ngùng,"",顔負け,
れきだい,liên tiếp phát sinh; những hoàng đế liên tiếp,"",歴代,
