みまん,Không đủ,VỊ MÃN,未満,VỊ MÃN,n
つもる,Được chất,TÍCH,積もる,TÍCH, v
めんせき,diện tích,"DIỆN, MIẾN TÍCH, TÍ",面積,"DIỆN, MIẾN TÍCH, TÍ",n
くわえる,Thêm vào,"",加える,"",v
ようけん,yêu cầu/điều kiện tất yếu/điều kiện cần thiết,YẾU KIỆN,要件,YẾU KIỆN, 
すすむ,tiến triển; tiến bộ,TIẾN,進む,TIẾN,v
すすめる,thúc đẩy; xúc tiến,TIẾN,進める,TIẾN,v
しょき,ban đầu/giai đoạn đầu tiên/ đầu,"SƠ KÌ, KI",初期,"SƠ KÌ, KI", n
としん,trung tâm thành phố/trung tâm đô thị,ĐÔ TÂM,都心,ĐÔ TÂM,n
なっとく,Thuyết phục,NẠP ĐẮC,納得,NẠP ĐẮC,v/n
まね,"sự bắt chước,sự mô phỏng",CHÂN TỰ,真似,CHÂN TỰ,n
とくい,"khách quen,khách chính",ĐẮC Ý,得意,ĐẮC Ý,n
きのう,Chức năng,CƠ NĂNG,機能,CƠ NĂNG,n
まったく,Tất cả,"",全く,"",adv
ぜんいん,Toàn bộ thành viên,TOÀN VIÊN,全員,TOÀN VIÊN,n
にがて,kém/yếu,KHỔ THỦ,苦手,KHỔ THỦ, n
けいか,quá trình/sự trải qua/sự kinh qua,KINH QUÁ\QUA,経過,KINH QUÁ\QUA,n
とうろく,"Sự đăng ký, sổ đăng ký",ĐĂNG LỤC,登録,ĐĂNG LỤC, n
あてる,"Đánh trúng, bắn trúng","",当てる,"",v
さいばん,"Xét xử, kết án",TÀI PHÁN,裁判,TÀI PHÁN,v/n
めぐる,đi quanh; dạo quanh,TUẦN,巡る,TUẦN,v
ながれる,"Chảy, trôi.","",流れる,"",v
ちゅうせい,thời Trung cổ,TRUNG THẾ,中世,TRUNG THẾ, 
もんく,"sự kêu ca,sự phàn nàn,sự than phiền,kêu ca,phàn nàn,than phiền","VĂN, VẤN CÚ, CÂU, CẤU",文句,"VĂN, VẤN CÚ, CÂU, CẤU",n
かいし,"Khởi đầu, bắt đầu",KHAI THỦY,開始,KHAI THỦY, v/n
つうか,tiền tệ,THÔNG HÓA,通貨,THÔNG HÓA,n
いいわけ,Sự biện minh,NGÔN DỊCH,言い訳,NGÔN DỊCH,n
よる,"Tới gần, gặp, rơi vào","",寄る,"",v
くらべる,So sánh,"",比べる,"", v
ひかく,So sánh,TỶ GIÁC,比較,TỶ GIÁC, v/n
ほうちょう,Con dao,BAO ĐINH,包丁,BAO ĐINH,n
すずしい,"Mát mẻ, khoan khoái","",涼しい,"",a-i
しょうがい,"truân chuyên ,
trở ngại/chướng ngại","CHƯỚNG HẠI, HẠT",障害,"CHƯỚNG HẠI, HẠT",n
そだつ,Lớn lên,"",育つ,"",v
でんぴょう,giấy nợ/hóa đơn,TRUYỀN PHIẾU,伝票,TRUYỀN PHIẾU, 
まことに,"Thành thật, chân thành",THÀNH,誠に,THÀNH,adv
とうふ,Đậu hủ,ĐẬU HỦ,豆腐,ĐẬU HỦ,n
だいぶだいぶん,"đáng kể,đáng chú ý,nhiều,khá","ĐẠI, THÁI PHÂN, PHẬN",大分,"ĐẠI, THÁI PHÂN, PHẬN", 
ちゅうこちゅうぶる,trung cổ,TRUNG CỔ,中古,TRUNG CỔ, 
いぜん,trước kia,DĨ TIỀN,以前,DĨ TIỀN, 
しき,Bốn mùa,TỨ QUÝ,四季,TỨ QUÝ,n
ようす,"thái độ 
trạng thái",DẠNG TỬ,様子,DẠNG TỬ,n
きこう,Khí hậu,KHÍ HẬU,気候,KHÍ HẬU, n
かんこう,tham quan; du lịch,QUAN QUANG,観光,QUAN QUANG,n
