私(わたし): tôi,tư(watashi): tôi,私,わたし,watashi,tôi,tư,1
"私たち(わたしたち): chúng tôi, chúng ta","tư(watashitachi): chúng tôi, chúng ta",私たち,わたしたち,watashitachi,"chúng tôi, chúng ta",tư,1
"貴方(あなた): anh/ chị/ ông/ bà, bạn ngôi thứ 2 số ít)","quý phương(anata): anh/ chị/ ông/ bà, bạn ngôi thứ 2 số ít)",貴方,あなた,anata,"anh/ chị/ ông/ bà, bạn ngôi thứ 2 số ít)",quý phương,1
"あの人(あのひと): người kia, người đó","nhân(anohito): người kia, người đó",あの人,あのひと,anohito,"người kia, người đó",nhân,1
"あの方(あのかた): (「あのかた」là cách nói lịch sự của「あのひと」, vị kia)","phương(anokata): (「あのかた」là cách nói lịch sự của「あのひと」, vị kia)",あの方,あのかた,anokata,"(「あのかた」là cách nói lịch sự của「あのひと」, vị kia)",phương,1
"皆さん(みなさん): các anh chị, các ông bà, các bạn, quý vị","giai(minasan): các anh chị, các ông bà, các bạn, quý vị",皆さん,みなさん,minasan,"các anh chị, các ông bà, các bạn, quý vị",giai,1
"～さん: anh, chị, ông, bà (cách gọi người khác một cách lịch sự bằng cách thêm từ này vào sau tên của người đó)","～san: anh, chị, ông, bà (cách gọi người khác một cách lịch sự bằng cách thêm từ này vào sau tên của người đó)","",～さん,～san,"anh, chị, ông, bà (cách gọi người khác một cách lịch sự bằng cách thêm từ này vào sau tên của người đó)","",1
～ちゃん: (hậu tố thêm vào sau tên của trẻ em thay cho 「～さん」),～chan: (hậu tố thêm vào sau tên của trẻ em thay cho 「～さん」),"",～ちゃん,～chan,(hậu tố thêm vào sau tên của trẻ em thay cho 「～さん」),"",1
～くん: (hậu tố thêm vào sau tên của em trai),～kun: (hậu tố thêm vào sau tên của em trai),"",～くん,～kun,(hậu tố thêm vào sau tên của em trai),"",1
～人(～じん): (hậu tố mang nghĩa “người (nước)~”; ví dụ  「アメリカじん」: Người Mỹ),nhân(～jin): (hậu tố mang nghĩa “người (nước)~”; ví dụ  「アメリカじん」: Người Mỹ),～人,～じん,～jin,(hậu tố mang nghĩa “người (nước)~”; ví dụ  「アメリカじん」: Người Mỹ),nhân,1
先生(せんせい): thầy/ cố (không dùng khi nói về nghề nghiệp giáo viên của mình),tiên sinh(sensei): thầy/ cố (không dùng khi nói về nghề nghiệp giáo viên của mình),先生,せんせい,sensei,thầy/ cố (không dùng khi nói về nghề nghiệp giáo viên của mình),tiên sinh,1
教師(きょうし): giáo viên,giáo sư(kyoushi): giáo viên,教師,きょうし,kyoushi,giáo viên,giáo sư,1
"学生(がくせい): học sinh, sinh viên","học sinh(gakusei): học sinh, sinh viên",学生,がくせい,gakusei,"học sinh, sinh viên",học sinh,1
会社員(かいしゃいん): nhân viên công ty,hội xã viên(kaishain): nhân viên công ty,会社員,かいしゃいん,kaishain,nhân viên công ty,hội xã viên,1
社員(しゃいん): Nhân viên công ty ,xã viên(shain): Nhân viên công ty ,社員,しゃいん,shain,Nhân viên công ty ,xã viên,1
銀行員(ぎんこういん): Nhân viên ngân hàng,ngân hàng viên(ginkouin): Nhân viên ngân hàng,銀行員,ぎんこういん,ginkouin,Nhân viên ngân hàng,ngân hàng viên,1
医者(いしゃ): Bác Sĩ,y giả(isha): Bác Sĩ,医者,いしゃ,isha,Bác Sĩ,y giả,1
研究者(けんきゅうしゃ): nhà nghiên cứu,nghiên cứu giả(kenkyuusha): nhà nghiên cứu,研究者,けんきゅうしゃ,kenkyuusha,nhà nghiên cứu,nghiên cứu giả,1
エンジニア: kỹ sư,enjinia: kỹ sư,"",エンジニア,enjinia,kỹ sư,"",1
"大学(だいがく): đại học, trường đại học","đại học(daigaku): đại học, trường đại học",大学,だいがく,daigaku,"đại học, trường đại học",đại học,1
病院(びょういん): bệnh viện,bệnh viện(byouin): bệnh viện,病院,びょういん,byouin,bệnh viện,bệnh viện,1
"電気(でんき): điện, đèn điện","điện khí(denki): điện, đèn điện",電気,でんき,denki,"điện, đèn điện",điện khí,1
"誰 何方(だれどなた): ai (「どなた」là cách nói lịch sự của「だれ」, vị nào)","hà phương(daredonata): ai (「どなた」là cách nói lịch sự của「だれ」, vị nào)",誰 何方,だれどなた,daredonata,"ai (「どなた」là cách nói lịch sự của「だれ」, vị nào)",hà phương,1
～歳(～さい): ― tuổi,tuế(～sai): ― tuổi,～歳,～さい,～sai,― tuổi,tuế,1
"おいくつ: mấy tuổi, bao nhiêu tuổi","oikutsu: mấy tuổi, bao nhiêu tuổi","",おいくつ,oikutsu,"mấy tuổi, bao nhiêu tuổi","",1
"はい: vâng, dạ","hai: vâng, dạ","",はい,hai,"vâng, dạ","",1
いいえ: không,iie: không,"",いいえ,iie,không,"",1
"失礼ですが(しつれいですが): xin lỗi,…","thất lễ(shitsureidesuga): xin lỗi,…",失礼ですが,しつれいですが,shitsureidesuga,"xin lỗi,…",thất lễ,1
お名前は？(おなまえは？): Tên anh/chị là gì? ,danh tiền(onamaewa?): Tên anh/chị là gì? ,お名前は？,おなまえは？,onamaewa?,Tên anh/chị là gì? ,danh tiền,1
