"id","link","name","durations","vol_aulm_id","index_link","option","created_at","updated_at"
7,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2003.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 03.mp3","[0, 5, 5, 13, 13, 19, 19, 25, 25, 30, 30, 36, 36, 42, 43, 49, 49, 55, 55, 61, 61, 68, 68, 76, 76, 83, 83, 89, 89, 95, 95, 102, 102, 109]",1,2,0,"2016-12-24 06:31:02.233757","2016-12-24 06:31:02.233757"
6,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2002.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 02.mp3","[0, 5, 5, 11, 11, 17, 17, 23, 23, 29, 29, 40, 40, 47, 47, 52, 52, 59, 59, 69, 69, 75, 75, 81, 81, 87, 87, 94, 94, 102, 102, 110]",1,1,0,"2016-12-24 06:09:12.172782","2016-12-24 06:31:58.384386"
8,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2004.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 04.mp3","[0, 6, 6, 13, 13, 19, 19, 24, 24, 29, 29, 35, 35, 43, 43, 48, 48, 54, 54, 60, 60, 67, 67, 73, 73, 77, 77, 83, 83, 88, 88, 93, 93, 98, 98, 104]",1,3,0,"2016-12-24 06:39:34.95851","2016-12-24 06:39:34.95851"
9,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2005.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 05.mp3","[0, 5, 5, 9, 9, 14, 14, 18, 18, 24, 24, 30, 30, 35, 35, 42, 42, 48, 48, 57, 57, 62, 62, 67, 67, 73, 73, 79]",1,4,0,"2016-12-24 06:51:21.147711","2016-12-24 06:51:21.147711"
10,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2006.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 06.mp3","[0, 6, 6, 11, 11, 17, 17, 23, 23, 29]",1,5,0,"2016-12-24 06:53:24.706354","2016-12-24 06:53:24.706354"
11,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2007.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 07.mp3","[0, 6, 6, 12, 12, 16, 16, 22, 22, 28, 28, 34, 34, 40, 40, 46, 46, 50, 50, 56, 56, 63, 63, 68, 68, 76, 76, 83, 83, 90, 90, 95, 95, 104]",1,6,0,"2016-12-24 06:57:51.05448","2016-12-24 06:57:51.05448"
12,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2008.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 08.mp3","[0, 8, 8, 13, 13, 20, 20, 28, 28, 34, 34, 40, 40, 46, 46, 51, 51, 56, 56, 60, 60, 67, 67, 72, 72, 76, 76, 82, 82, 89, 89, 96, 96, 108]",1,7,0,"2016-12-24 07:03:59.496003","2016-12-24 07:03:59.496003"
13,"http://localhost:5000/audio/MiniVocabulary/Mimi%20Kara%20Oboeru%20N3%20Vocabulary%20-%20Unit%2001%20-%20track%2009.mp3","Mimi Kara Oboeru N3 Vocabulary - Unit 01 - track 09.mp3","[0, 5, 5, 10, 10, 18, 18, 25, 25, 32, 32, 39, 39, 46, 46, 53, 53, 59, 59, 65, 65, 69, 70, 76, 76, 81, 81, 86]",1,8,0,"2016-12-24 07:07:21.26666","2016-12-24 07:07:21.26666"
14,"http://localhost:5000/audio/MimiBunpouN4/03%20-%20Track%2003.mp3","03 - Track 03.mp3","[17, 25, 33, 44, 57, 66, 90, 102, 111, 120, 144, 152, 160, 169, 178, 185, 194, 202, 233, 250, 273, 285, 312, 322, 331, 339, 368, 379, 403, 412, 422, 427, 453, 461]",2,2,0,"2016-12-24 16:29:02.892853","2016-12-24 16:29:02.892853"
15,"http://localhost:5000/audio/MimiBunpouN4/04%20-%20Track%2004.mp3","04 - Track 04.mp3","[16, 27, 35, 47, 67, 74, 101, 110, 118, 126, 149, 156, 164, 173, 196, 205, 216, 226, 249, 257, 266, 274, 297, 305, 331, 338, 347, 354, 377, 385]",2,3,0,"2016-12-25 13:28:45.752356","2016-12-25 13:28:45.752356"
